COMPANY_NAME,INDUSTRY_SECTOR,SOURCE_1,SOURCE_2,SOURCE_3,SOURCE_4,SOURCE_5
Moderna,LIFESCIENCE,https://investors.modernatx.com/news-releases/,,,,
Pfizer,LIFESCIENCE,https://www.pfizer.com/news/press-releases/,,,,
